Scenario,Replication,1209L,1210L,1211L,1226L,1231L,1232L,1233L,1251L,1262L,1269L,1278L,1293L,1295L,1296L,1297L,2601L,2608L,2610L,2613L,2620L,2639L,2646L,2647L,4452L,4484L,4485L,4486L,4496L,4859L,4868L,SystemL,1209W,1210W,1211W,1226W,1231W,1232W,1233W,1251W,1262W,1269W,1278W,1293W,1295W,1296W,1297W,2601W,2608W,2610W,2613W,2620W,2639W,2646W,2647W,4452W,4484W,4485W,4486W,4496W,4859W,4868W
alternative1,1,1.516468613,1.543733932,1.613341061,1.8512735,1.664450901,1.81060424,1.903055679,1.615274842,1.719632695,1.947312328,1.717638274,1.549474859,1.629685907,1.884110071,1.74447385,1.735683987,1.762242444,1.635659307,1.64996405,1.601345571,1.676529609,1.670263672,1.718264006,1.726055048,1.695907358,2.040005239,1.725120871,1.883413098,1.851792012,1.718620789,51.80139781,0.414679658,0.175098803,0.313673028,0.804212988,0.699484236,0.682073518,1.490025934,0.491464645,0.67385355,1.204472138,0.607702074,0.411957156,0.448019809,1.864536266,0.651844756,0.569404731,0.550700764,0.394258073,0.465805019,0.33047704,0.456208246,0.470893728,0.486889131,0.566109329,0.913942711,3.316979061,0.708257683,0.974143378,0.933584228,0.464604975
alternative1,2,1.543594271,1.596913863,1.498765044,1.803228181,1.64499746,1.715479333,2.026136028,1.658010212,1.789601957,1.847992159,1.722391325,1.63801847,1.539906495,1.807091319,1.758596785,1.696443485,1.755921349,1.641028401,1.689116852,1.643707284,1.609716238,1.646446774,1.680296616,1.768114387,1.765972537,1.962673171,1.692061805,1.858415958,1.909678667,1.652635184,51.56295161,0.398365177,0.177710406,0.309131391,0.785435142,0.711497348,0.677845683,1.543304227,0.490534993,0.675858102,1.193571282,0.608348754,0.436657552,0.428206084,1.837719985,0.647421195,0.559791458,0.555268484,0.399703603,0.466540444,0.333870598,0.454649351,0.457389212,0.485387762,0.589917683,0.927894795,3.385276577,0.7563062,0.98466007,0.9513562,0.476545829
alternative1,3,1.58342377,1.585428772,1.548966896,1.832173891,1.61702456,1.728526178,1.80528747,1.692442241,1.787038609,1.840295485,1.732177477,1.602085575,1.627968081,1.900410445,1.701260363,1.666180824,1.773640001,1.651641026,1.645493322,1.640086483,1.643895665,1.571924297,1.659984499,1.644118496,1.71479604,2.001786658,1.897316295,1.837044643,1.899806287,1.674395597,51.50661995,0.414624135,0.173468814,0.301063265,0.803440851,0.719472782,0.674655655,1.617039889,0.474158095,0.677998757,1.115495047,0.629711446,0.434478966,0.436925146,1.944614687,0.666344662,0.558033804,0.552577825,0.404526563,0.471976418,0.337592516,0.446029298,0.450274377,0.483882195,0.554752137,0.941692214,3.354472319,0.768471311,0.988237183,0.939106151,0.462252593
alternative1,4,1.544643627,1.55628656,1.483321231,1.950333619,1.700470108,1.791740279,2.020005637,1.675954611,1.755004146,1.861149186,1.759793547,1.606451199,1.582437208,1.779677519,1.704983859,1.709540588,1.735641482,1.685751905,1.631849222,1.668066666,1.628893183,1.577083836,1.612472031,1.644470276,1.740393143,2.190926261,1.878178396,1.875591662,1.886499702,1.715852343,51.95346303,0.406571702,0.176890173,0.303141828,0.813666811,0.733122167,0.661535108,1.511254193,0.499145985,0.662218419,1.17659735,0.624518912,0.420498693,0.424513015,1.786901613,0.645563748,0.569231968,0.55936057,0.401685443,0.491603113,0.348724739,0.451085437,0.451062347,0.477363037,0.574225501,0.985056051,3.525250423,0.776529334,1.010538959,0.948288718,0.465963695
alternative1,5,1.563653263,1.533822923,1.622640379,1.968123936,1.765155837,1.813852475,1.898140216,1.581212854,1.901701434,2.024767395,1.610371711,1.602773968,1.562722775,1.800088153,1.761018199,1.762107978,1.734554339,1.67112463,1.672278513,1.701780772,1.652436201,1.577058787,1.711949449,1.705010859,1.848217981,2.015608576,1.812679957,1.833591734,1.844875672,1.65151456,52.20483552,0.415410979,0.173202948,0.310739897,0.84643798,0.730208607,0.685741223,1.417518485,0.485896462,0.685595942,1.148987154,0.587357101,0.435852225,0.44689705,1.895600764,0.663382592,0.566329241,0.549771776,0.397492479,0.460657751,0.343494738,0.461309202,0.437362063,0.49039327,0.544116106,0.958253637,3.032828779,0.721638074,0.950923963,0.926701737,0.463197249
alternative1,6,1.550280635,1.577312675,1.517272965,1.98256113,1.655154535,1.741552888,2.005934994,1.620397115,1.837609709,1.989915884,1.646624944,1.585900221,1.539353258,1.885883251,1.694310194,1.685930901,1.813312736,1.587806892,1.651208451,1.617467173,1.614598562,1.642789305,1.687532481,1.732250315,1.68901003,2.295755685,1.756507657,1.881488158,1.995029771,1.639792156,52.12054467,0.414793061,0.176582188,0.308294743,0.855492878,0.714319649,0.674149505,1.590518738,0.475060226,0.682584128,1.190292266,0.645768008,0.430640479,0.434085323,1.906527663,0.652511875,0.538310547,0.559443315,0.395092837,0.461874006,0.340519405,0.449798767,0.477111084,0.501229239,0.585828269,0.914040716,3.480388126,0.718857846,0.960253602,0.914856267,0.465061863
alternative1,7,1.49963358,1.573771082,1.538172999,1.825336193,1.696611145,1.662629991,1.940935725,1.563684476,1.783349959,1.954160044,1.691200098,1.6330038,1.55137433,1.880893463,1.796944922,1.798148031,1.768114675,1.615037049,1.638428506,1.690427532,1.571070402,1.561987728,1.644877487,1.740840274,1.74872628,1.916759396,1.696288114,1.819113997,1.86285189,1.605974352,51.27034752,0.40332009,0.177926977,0.305721373,0.818530182,0.724574636,0.656558052,1.619149844,0.491110232,0.673034944,1.122907458,0.624671448,0.431521715,0.429676848,1.968552923,0.661887002,0.573549996,0.559253081,0.391960152,0.474578601,0.341426966,0.451506515,0.448146702,0.487991864,0.575725682,0.995828964,3.16482708,0.734518556,0.978988219,0.920326669,0.467160295
alternative1,8,1.571471268,1.5822593,1.548534054,1.939629953,1.717357304,1.7836215,1.984421053,1.604459653,1.746384144,2.042198501,1.754062047,1.635600721,1.592666842,1.796315034,1.731358912,1.693026584,1.762676765,1.617692522,1.648622424,1.67741775,1.515348441,1.618833349,1.685958744,1.732445348,1.751374346,2.041999421,1.801918994,1.917864769,1.900925715,1.674602111,52.07104757,0.403776057,0.175117817,0.307886434,0.830123541,0.703787828,0.667114288,1.511502102,0.482163061,0.68538081,1.248536644,0.618464553,0.420715149,0.431833634,1.851280052,0.663922243,0.552851472,0.554986878,0.400981035,0.457549387,0.336535023,0.43293799,0.453890592,0.486368466,0.560611357,0.940144209,3.3282257,0.716759084,0.974441423,0.91979473,0.465588124
alternative1,9,1.527348853,1.50679061,1.575977504,1.99966226,1.677502119,1.741329179,2.028498273,1.593691768,1.733986194,2.049351194,1.768854105,1.618273352,1.598762679,1.932404751,1.771745212,1.707018551,1.80967043,1.604221883,1.733681433,1.649243824,1.657917616,1.586816443,1.643873912,1.72385289,1.869383629,2.193812519,1.845165909,1.942909892,1.909566664,1.63485263,52.63616628,0.414915155,0.170332871,0.303699461,0.80747755,0.727615246,0.660127314,1.485653856,0.484136796,0.657537798,1.185664708,0.619407774,0.424395343,0.436786451,1.921586664,0.669536563,0.553596483,0.570947137,0.406181527,0.469559373,0.340700026,0.453130975,0.469588097,0.501675088,0.574008283,0.966318453,3.111487012,0.745143302,1.013305125,0.937809595,0.470145912
alternative1,10,1.588763589,1.58524735,1.559032454,1.93986911,1.644246354,1.805237538,1.961447484,1.634413003,1.784898545,1.993162671,1.758235231,1.612005237,1.598575491,1.984043286,1.749648574,1.754686211,1.781476227,1.648680712,1.651754947,1.713872808,1.667592021,1.671329903,1.78039187,1.737707135,1.728517779,2.16356202,1.741851919,1.842716795,1.878203712,1.722578009,52.68374799,0.40823326,0.17585064,0.312861411,0.80842931,0.695516598,0.692598618,1.516571761,0.475876626,0.654604241,1.206988912,0.624223524,0.422566569,0.430866142,1.946141288,0.666030934,0.55325381,0.569636718,0.414908491,0.456879142,0.336397093,0.45368314,0.466225621,0.499356345,0.570840194,0.927079181,3.30697636,0.735377911,0.982159311,0.942282975,0.477952184
alternative1,11,1.620300999,1.559658335,1.613252166,1.913440245,1.640324488,1.841975854,2.139970856,1.696882488,1.705367507,1.988429445,1.657998905,1.647848499,1.609387895,1.927928418,1.708984296,1.728337623,1.865129196,1.587952801,1.683566477,1.641969645,1.66690266,1.550549324,1.64896719,1.712356896,1.822367407,1.874390834,1.782850844,1.877809094,1.844217139,1.669361891,52.22847942,0.411650219,0.17583109,0.316819941,0.794068826,0.719246865,0.690979245,1.537889328,0.503643759,0.665022203,1.178218712,0.610066724,0.425371917,0.437139325,1.914991581,0.654109259,0.572214152,0.58961592,0.40415781,0.466020752,0.342644581,0.447441055,0.461126111,0.474737825,0.582884492,0.983270464,3.156008793,0.747580358,0.995446608,0.909100586,0.472556421
alternative1,12,1.573155412,1.570909885,1.616092239,1.918350279,1.559713121,1.712144711,2.034366985,1.650069504,1.799103184,1.938374619,1.702190184,1.58669432,1.564709992,1.977176119,1.648128042,1.701347484,1.758107544,1.565497645,1.586827496,1.681259897,1.642724203,1.605329292,1.630217796,1.690255398,1.749726302,1.998041314,1.709538227,1.808746586,1.813556714,1.606266597,51.39862109,0.41868744,0.175345979,0.313625227,0.801452576,0.717634554,0.660311913,1.516671462,0.467500271,0.669729575,1.190264811,0.628020781,0.438915992,0.43327333,1.835255392,0.646130171,0.564407072,0.551731265,0.40830596,0.468137769,0.339853532,0.459621984,0.463242208,0.477015908,0.577482644,0.911412526,3.08058084,0.724026269,0.960679095,0.926779439,0.459235684
alternative1,13,1.58357146,1.575082821,1.612984665,2.002628449,1.730465266,1.891382864,2.004685631,1.621069552,1.806246052,2.013644676,1.761358129,1.624618962,1.594490406,1.96620901,1.82481621,1.837020349,1.831897147,1.671039577,1.67776935,1.721163844,1.653240686,1.676043601,1.684403518,1.798862545,1.693278084,1.915913966,1.862693875,1.978587574,1.947033304,1.774575724,53.3367773,0.411466813,0.172190941,0.308696423,0.823322141,0.738754194,0.678916311,1.539331906,0.470267458,0.669219376,1.158201272,0.606037767,0.443305571,0.44945974,1.825625886,0.671365996,0.562526015,0.558425191,0.403009353,0.470442401,0.345924574,0.449804912,0.476376206,0.491509783,0.552522677,0.986332551,3.012152383,0.769719083,1.019339506,0.899380074,0.477681957
alternative1,14,1.640535741,1.635406297,1.594865718,1.943344122,1.732100181,1.731672907,2.000871219,1.662973389,1.781712309,2.104769201,1.721947352,1.623006847,1.604038267,1.927200056,1.757278949,1.690229117,1.819823484,1.665349171,1.662399716,1.69143572,1.621647656,1.668867657,1.679242358,1.738413209,1.738103074,2.178220494,1.854347755,1.820804207,1.955503865,1.646300426,52.89241046,0.416436223,0.178481284,0.305878198,0.814422283,0.71503992,0.672151161,1.652932409,0.474919449,0.672951541,1.162119936,0.634434117,0.424805496,0.435701779,1.855690873,0.69591828,0.557315352,0.55780983,0.393249634,0.467260334,0.345521846,0.44829593,0.470441413,0.505457566,0.573416152,0.945973939,3.176771249,0.766705977,0.978458683,0.931990186,0.470031165
alternative1,15,1.56613001,1.546854428,1.581508195,1.919196808,1.686293094,1.794250668,1.929893331,1.661205819,1.736335334,2.035621406,1.738391598,1.582677097,1.568937479,1.855192593,1.639372388,1.768404479,1.776377529,1.549141623,1.586568986,1.715536219,1.673263572,1.602347843,1.753074476,1.647428498,1.770983408,2.093780108,1.794185414,1.860480705,1.817267037,1.698786018,51.94948616,0.400767631,0.175907329,0.30497155,0.817066472,0.718544898,0.681241722,1.549706067,0.476949227,0.676421393,1.183431345,0.607351936,0.42791935,0.432653329,1.912144127,0.647219456,0.563972559,0.550524139,0.392857431,0.460676527,0.335177859,0.468444756,0.463674187,0.483766138,0.550888154,0.938230966,3.309534541,0.765722916,0.939820884,0.909005807,0.483504504
alternative1,16,1.616310401,1.551374143,1.542905639,1.816434971,1.655215576,1.757409168,1.985951723,1.645672883,1.825447315,2.003064797,1.7199903,1.590638455,1.611276958,1.954374604,1.748886287,1.673146733,1.809602433,1.625276263,1.644274467,1.687747158,1.634201398,1.590399953,1.634153413,1.689561309,1.751601255,1.976107946,1.875159677,1.947912184,1.87822822,1.721395386,52.16372102,0.414940918,0.177832288,0.305603801,0.777094621,0.712398554,0.679884975,1.522798827,0.466895581,0.683965388,1.185675487,0.611530322,0.422926142,0.428795647,2.005362491,0.675595334,0.561613001,0.568296796,0.411578701,0.450756511,0.341328487,0.4464488,0.460044422,0.472847161,0.556613956,0.957404131,3.048345436,0.766391998,0.973537822,0.910402352,0.456035679
alternative1,17,1.549983847,1.574445117,1.521462739,1.906632371,1.661214828,1.821034402,1.990944799,1.66989715,1.732945559,2.02604287,1.742932893,1.562976431,1.633793365,1.873288405,1.658908692,1.813540721,1.78447108,1.62325428,1.663145609,1.70598835,1.67498535,1.559647736,1.653453131,1.713079366,1.720212097,2.18864256,1.857195214,1.884719852,1.733174477,1.714465273,52.21647856,0.418135692,0.175930251,0.304586867,0.789967317,0.702176751,0.647386984,1.569682432,0.485911891,0.657533104,1.156772945,0.626635012,0.426337467,0.439765637,1.849067847,0.648726811,0.583445197,0.559079033,0.401919862,0.457066546,0.344279769,0.45077563,0.455661669,0.485978588,0.561047309,0.908759664,3.481806425,0.749074772,0.978304828,0.894540622,0.469366762
alternative1,18,1.578372935,1.535055993,1.575206289,1.882892076,1.689200997,1.721654034,1.829908756,1.623579881,1.778439152,1.986362291,1.680166586,1.578529817,1.557093205,1.995157239,1.747523935,1.713277092,1.702290417,1.657140627,1.683929648,1.729238368,1.563053863,1.594517575,1.657461693,1.766649546,1.743697248,2.136384026,1.786698063,1.76808639,1.916355115,1.645903823,51.82382668,0.419937643,0.178538007,0.310789994,0.824130865,0.756040815,0.661120448,1.426239119,0.474239528,0.683586654,1.233739508,0.608285159,0.424576283,0.4494815,1.893188972,0.661080983,0.551144897,0.537933399,0.402730004,0.45025977,0.333112185,0.443331303,0.463935867,0.481924306,0.575585851,1.009897772,3.217438523,0.750793088,0.945717225,0.848893375,0.488448542
alternative1,19,1.525456425,1.507100797,1.564811061,1.788669786,1.685997907,1.692289888,2.001398947,1.601790346,1.757141231,1.821239393,1.639307587,1.609928713,1.615264837,1.736085904,1.675237031,1.721647791,1.712696533,1.630911212,1.600989013,1.627237286,1.534954706,1.573453152,1.613333196,1.717217213,1.730219355,1.999093519,1.748465114,1.837051823,1.760050583,1.573251701,50.60229205,0.414911373,0.174709674,0.307121333,0.805212629,0.738475055,0.678362582,1.41763644,0.496065008,0.657289881,1.176928365,0.606189347,0.436168797,0.430653841,1.774864407,0.65024777,0.561991494,0.540550185,0.408023811,0.475067759,0.332143984,0.440870578,0.459245079,0.489747419,0.573727054,0.954940875,3.440649125,0.752063096,0.953011209,0.904457317,0.457095528
alternative1,20,1.584371823,1.564963352,1.566036565,1.910611864,1.706325045,1.737727243,2.026017348,1.569319907,1.714085931,2.068514388,1.765252363,1.578302213,1.610902628,1.998953476,1.749611383,1.626200489,1.816696075,1.599056862,1.687498874,1.667085466,1.572949366,1.637939377,1.685504903,1.742019862,1.724580147,2.275185311,1.769881121,1.837454407,1.884238181,1.655414369,52.33270034,0.417040303,0.177108852,0.308317586,0.807814439,0.738928656,0.686319972,1.559861832,0.484548219,0.691885967,1.188587049,0.596494453,0.424712907,0.433393511,1.857353577,0.661537712,0.549893218,0.563734969,0.402917895,0.464650705,0.34216492,0.442602092,0.461391374,0.481940989,0.565088513,0.939967983,3.446826544,0.744514568,0.925501578,0.924480108,0.475207086
alternative10,1,1.505139119,1.554543966,1.616639047,1.802646286,1.739627379,1.777616858,1.816309669,1.86746271,1.742728314,1.828839166,1.696920719,1.588418737,1.618328287,1.788295778,1.727846411,1.709845842,1.798800366,1.586775942,1.629071083,1.622565439,1.628032737,1.646762144,1.723721013,1.700449367,1.662786612,2.025939954,1.691386573,1.852241446,1.867385162,1.70465238,51.52177851,0.416485128,0.174623664,0.311871858,0.814011099,0.703563798,0.66999559,1.474433267,0.505401007,0.674822958,1.18719679,0.607382492,0.41473033,0.445079435,1.98084522,0.640887142,0.569279739,0.563804421,0.389127615,0.462442089,0.334664193,0.447933653,0.468612943,0.488617516,0.550197662,0.932383586,3.206999427,0.721716733,0.975540594,0.939476756,0.460983174
alternative10,2,1.546461375,1.565930912,1.510509735,1.841552908,1.595929661,1.726265703,1.815316591,1.855351761,1.782923987,1.696082938,1.723600616,1.635547985,1.548439807,2.231567327,1.741138843,1.614847877,1.768486218,1.655835758,1.649310797,1.651551998,1.602205775,1.661720917,1.632866409,1.776598995,1.746909127,2.047870184,1.731689946,1.860545429,1.890421064,1.633202073,51.74068272,0.401844142,0.177639588,0.30960258,0.796411075,0.703791275,0.686255897,1.563884126,0.481285334,0.673336792,1.154426386,0.620032709,0.444893578,0.432418055,1.825827813,0.647324877,0.549752323,0.549821933,0.398324012,0.467379873,0.335368857,0.452527917,0.46074325,0.478403156,0.589470634,0.921395087,3.376242474,0.765000149,0.986424993,0.942103227,0.476476132
alternative10,3,1.553340272,1.590141231,1.517294116,1.77188104,1.636628199,1.717283807,1.742992636,1.896576041,1.756605454,1.741317501,1.728047287,1.598262081,1.588755306,1.798959977,1.791991969,1.675596497,1.740997306,1.66895912,1.636354637,1.628651512,1.648176043,1.590244343,1.66649676,1.665596152,1.762647123,1.835808871,1.874172893,1.871145256,1.866300759,1.660041625,51.22126582,0.408381254,0.173694025,0.295945254,0.79343845,0.725960911,0.661654455,1.592846989,0.491057259,0.677600579,1.103885234,0.632044848,0.429232749,0.4359285,2.013250469,0.654168124,0.553468392,0.548577949,0.408074931,0.469622426,0.34029679,0.444415185,0.456431396,0.483237412,0.554720125,0.989707302,3.207878145,0.746503729,1.013170574,0.944231911,0.471122445
alternative10,4,1.522106631,1.553347514,1.490237139,1.93922062,1.633907588,1.764437208,1.796135532,1.901501933,1.707517878,1.713988004,1.779250027,1.624987988,1.601801384,1.894670589,1.661193213,1.71426429,1.751095745,1.646127617,1.634986518,1.649661267,1.612295027,1.624338986,1.665606172,1.665382745,1.747319107,2.134732736,1.810078719,1.865830557,1.872090555,1.707020195,51.68513348,0.401668574,0.176695597,0.301052245,0.818995635,0.704390144,0.676774467,1.515394814,0.497806954,0.658802811,1.170386025,0.618310286,0.419206109,0.43654777,1.8336775,0.644614781,0.571070068,0.569198784,0.40142258,0.491519955,0.343878434,0.455778081,0.458623161,0.48238678,0.562656137,0.979991209,3.333009598,0.784320366,1.008299019,0.93173322,0.469943652
